atlas,draw,variable_raw,variable,trait_family,full_r2t_beta,drop_r2t_beta,contribution
1970s,236,hh,Land-use heterogeneity,Migratory strategy,0.16699687516657505,0.10502015998824932,0.06197671517832573
1970s,236,hh,Land-use heterogeneity,Foraging guild,0.16699687516657505,0.16124205775831005,0.0057548174082650005
1970s,236,perc_urban,Urban,Species thermal index,0.34673893691144236,0.22308943743682733,0.12364949947461504
1970s,236,perc_urban,Urban,Migratory strategy,0.34673893691144236,0.24862243586996574,0.09811650104147662
1970s,236,perc_urban,Urban,Foraging guild,0.34673893691144236,0.22887230539395986,0.1178666315174825
1970s,236,perc_cropland,Cropland,Species thermal index,0.31427147690774027,0.2403811150714898,0.07389036183625047
1970s,236,perc_cropland,Cropland,Migratory strategy,0.31427147690774027,0.22147996637103756,0.0927915105367027
1970s,236,perc_cropland,Cropland,Foraging guild,0.31427147690774027,0.23287352901104708,0.08139794789669319
1970s,236,perc_pasture,Pasture,Species thermal index,0.10280437723799521,0.10259080740642831,2.1356983156689546e-4
1970s,236,perc_pasture,Pasture,Migratory strategy,0.10280437723799521,0.10305551561558281,-2.5113837758759805e-4
1970s,236,perc_pasture,Pasture,Foraging guild,0.10280437723799521,0.0022059483521516586,0.10059842888584355
1970s,236,perc_forest,Forest,Species thermal index,0.38107074072762337,0.3785792401851255,0.00249150054249786
1970s,236,perc_forest,Forest,Migratory strategy,0.38107074072762337,0.3215677840892491,0.059502956638374294
1970s,236,perc_forest,Forest,Foraging guild,0.38107074072762337,0.10717302984836048,0.2738977108792629
1970s,236,perc_grass_shrub,Grass/shrubland,Species thermal index,0.12515001266324746,0.12178281327961497,0.003367199383632488
1970s,236,perc_grass_shrub,Grass/shrubland,Migratory strategy,0.12515001266324746,0.11077754310421084,0.014372469559036621
1970s,236,perc_grass_shrub,Grass/shrubland,Foraging guild,0.12515001266324746,0.017450603936007135,0.10769940872724032
1970s,237,tmean_breeding,Temperature,Species thermal index,0.09583361331968317,0.09466569766635709,0.0011679156533260793
1970s,237,tmean_breeding,Temperature,Migratory strategy,0.09583361331968317,0.1076983837670422,-0.011864770447359035
1970s,237,tmean_breeding,Temperature,Foraging guild,0.09583361331968317,1.8709628856752933e-5,0.09581490369082642
1970s,237,prec_breeding,Precipitation,Species thermal index,0.06521831243429693,0.06991027071631284,-0.004691958282015907
1970s,237,prec_breeding,Precipitation,Migratory strategy,0.06521831243429693,0.04434625966194066,0.02087205277235627
1970s,237,prec_breeding,Precipitation,Foraging guild,0.06521831243429693,0.04616083550032022,0.019057476933976712
1970s,237,hh,Land-use heterogeneity,Species thermal index,0.14179847518713393,0.12136432079134868,0.020434154395785248
1970s,237,hh,Land-use heterogeneity,Migratory strategy,0.14179847518713393,0.13004161683938992,0.01175685834774401
1970s,237,hh,Land-use heterogeneity,Foraging guild,0.14179847518713393,0.06724649849380636,0.07455197669332757
1970s,237,perc_urban,Urban,Species thermal index,0.1617119515794379,0.06869192882408638,0.09302002275535153
1970s,237,perc_urban,Urban,Migratory strategy,0.1617119515794379,0.1274104974901524,0.034301454089285505
1970s,237,perc_urban,Urban,Foraging guild,0.1617119515794379,0.21958027383795678,-0.05786832225851887
1970s,237,perc_cropland,Cropland,Species thermal index,0.23868439529160082,0.18586588326178205,0.05281851202981877
1970s,237,perc_cropland,Cropland,Migratory strategy,0.23868439529160082,0.2054128329091704,0.033271562382430425
1970s,237,perc_cropland,Cropland,Foraging guild,0.23868439529160082,0.21916539054877007,0.019519004742830748
1970s,237,perc_pasture,Pasture,Species thermal index,0.11721013842864979,0.1197085557466504,-0.0024984173180006147
1970s,237,perc_pasture,Pasture,Migratory strategy,0.11721013842864979,0.08822047563933735,0.028989662789312434
1970s,237,perc_pasture,Pasture,Foraging guild,0.11721013842864979,0.011862349328749036,0.10534778909990075
1970s,237,perc_forest,Forest,Species thermal index,0.3595052958177518,0.35432963664363276,0.005175659174119052
1970s,237,perc_forest,Forest,Migratory strategy,0.3595052958177518,0.25499494219322166,0.10451035362453015
1970s,237,perc_forest,Forest,Foraging guild,0.3595052958177518,0.16126554692519612,0.1982397488925557
1970s,237,perc_grass_shrub,Grass/shrubland,Species thermal index,0.10954454958491056,0.11170442303143174,-0.0021598734465211877
1970s,237,perc_grass_shrub,Grass/shrubland,Migratory strategy,0.10954454958491056,0.11639582947626449,-0.006851279891353937
1970s,237,perc_grass_shrub,Grass/shrubland,Foraging guild,0.10954454958491056,0.001469396981197343,0.10807515260371321
1970s,238,tmean_breeding,Temperature,Species thermal index,0.17422003441603245,0.162105110267136,0.01211492414889645
1970s,238,tmean_breeding,Temperature,Migratory strategy,0.17422003441603245,0.14517243952268852,0.029047594893343937
1970s,238,tmean_breeding,Temperature,Foraging guild,0.17422003441603245,0.00924266155841402,0.16497737285761843
1970s,238,prec_breeding,Precipitation,Species thermal index,0.06902914156937132,0.07987977248585275,-0.010850630916481432
1970s,238,prec_breeding,Precipitation,Migratory strategy,0.06902914156937132,0.039241971312667615,0.0297871702567037
1970s,238,prec_breeding,Precipitation,Foraging guild,0.06902914156937132,0.01488912912018389,0.054140012449187425
1970s,238,hh,Land-use heterogeneity,Species thermal index,0.12648636608928052,0.14261864398178514,-0.016132277892504626
1970s,238,hh,Land-use heterogeneity,Migratory strategy,0.12648636608928052,0.13357491516023023,-0.007088549070949718
1970s,238,hh,Land-use heterogeneity,Foraging guild,0.12648636608928052,0.02873661768751753,0.09774974840176298
1970s,238,perc_urban,Urban,Species thermal index,0.3604178958326691,0.14895552908646467,0.21146236674620442
1970s,238,perc_urban,Urban,Migratory strategy,0.3604178958326691,0.34085866923717195,0.019559226595497137
1970s,238,perc_urban,Urban,Foraging guild,0.3604178958326691,0.28865499958113056,0.07176289625153853
1970s,238,perc_cropland,Cropland,Species thermal index,0.4310544754080933,0.2984287738760915,0.13262570153200176
1970s,238,perc_cropland,Cropland,Migratory strategy,0.4310544754080933,0.38222958177232735,0.04882489363576592
1970s,238,perc_cropland,Cropland,Foraging guild,0.4310544754080933,0.23931543267202665,0.19173904273606662
1970s,238,perc_pasture,Pasture,Species thermal index,0.22741628139408504,0.2287468387276927,-0.0013305573336076515
1970s,238,perc_pasture,Pasture,Migratory strategy,0.22741628139408504,0.21011947858034533,0.017296802813739715
1970s,238,perc_pasture,Pasture,Foraging guild,0.22741628139408504,0.01196655317497733,0.2154497282191077
1970s,238,perc_forest,Forest,Species thermal index,0.1448474415345563,0.13316920556758857,0.011678235966967737
1970s,238,perc_forest,Forest,Migratory strategy,0.1448474415345563,0.06262638146712378,0.08222106006743253
1970s,238,perc_forest,Forest,Foraging guild,0.1448474415345563,0.13782914835354906,0.007018293181007246
1970s,238,perc_grass_shrub,Grass/shrubland,Species thermal index,0.15383316132106475,0.1552296477762712,-0.0013964864552064582
1970s,238,perc_grass_shrub,Grass/shrubland,Migratory strategy,0.15383316132106475,0.15388156723748478,-4.8405916420024564e-5
1970s,238,perc_grass_shrub,Grass/shrubland,Foraging guild,0.15383316132106475,0.0017557204315098876,0.15207744088955485
1970s,239,tmean_breeding,Temperature,Species thermal index,0.18998413968178635,0.18379111595289427,0.0061930237288920775
1970s,239,tmean_breeding,Temperature,Migratory strategy,0.18998413968178635,0.17432131528758246,0.015662824394203884
1970s,239,tmean_breeding,Temperature,Foraging guild,0.18998413968178635,0.007503777316874228,0.1824803623649121
1970s,239,prec_breeding,Precipitation,Species thermal index,0.09921911367511789,0.1085031227952259,-0.009284009120108017
1970s,239,prec_breeding,Precipitation,Migratory strategy,0.09921911367511789,0.06318916026036486,0.03602995341475303
1970s,239,prec_breeding,Precipitation,Foraging guild,0.09921911367511789,0.030292182096598563,0.06892693157851933
1970s,239,hh,Land-use heterogeneity,Species thermal index,0.2563880752227837,0.21692074060347658,0.0394673346193071
1970s,239,hh,Land-use heterogeneity,Migratory strategy,0.2563880752227837,0.2456207983850905,0.010767276837693185
1970s,239,hh,Land-use heterogeneity,Foraging guild,0.2563880752227837,0.08146480782770867,0.17492326739507502
1970s,239,perc_urban,Urban,Species thermal index,0.32514830536630324,0.25437300209562025,0.07077530327068299
1970s,239,perc_urban,Urban,Migratory strategy,0.32514830536630324,0.24514719603254898,0.08000110933375426
1970s,239,perc_urban,Urban,Foraging guild,0.32514830536630324,0.19311342981415017,0.13203487555215307
1970s,239,perc_cropland,Cropland,Species thermal index,0.2576087266981127,0.23389000238348118,0.023718724314631512
1970s,239,perc_cropland,Cropland,Migratory strategy,0.2576087266981127,0.2024129662296403,0.05519576046847238
1970s,239,perc_cropland,Cropland,Foraging guild,0.2576087266981127,0.1897567765043014,0.0678519501938113
1970s,239,perc_pasture,Pasture,Species thermal index,0.1402864817541561,0.16135864613524242,-0.021072164381086333
1970s,239,perc_pasture,Pasture,Migratory strategy,0.1402864817541561,0.12881025550650455,0.011476226247651544
1970s,239,perc_pasture,Pasture,Foraging guild,0.1402864817541561,0.0114067943975313,0.12887968735662478
1970s,239,perc_forest,Forest,Species thermal index,0.3024116234650174,0.2966530540350522,0.005758569429965166
1970s,239,perc_forest,Forest,Migratory strategy,0.3024116234650174,0.2415411427579763,0.06087048070704107
1970s,239,perc_forest,Forest,Foraging guild,0.3024116234650174,0.12188859669416649,0.1805230267708509
1970s,239,perc_grass_shrub,Grass/shrubland,Species thermal index,0.08238561514475869,0.08807618337338886,-0.005690568228630177
1970s,239,perc_grass_shrub,Grass/shrubland,Migratory strategy,0.08238561514475869,0.08161818674503173,7.674283997269604e-4
1970s,239,perc_grass_shrub,Grass/shrubland,Foraging guild,0.08238561514475869,4.6459785664365534e-4,0.08192101728811503
1970s,240,tmean_breeding,Temperature,Species thermal index,0.23086337415884317,0.23071643982967788,1.469343291652936e-4
1970s,240,tmean_breeding,Temperature,Migratory strategy,0.23086337415884317,0.21136045003186762,0.019502924126975546
1970s,240,tmean_breeding,Temperature,Foraging guild,0.23086337415884317,3.256879809371194e-4,0.23053768617790604
1970s,240,prec_breeding,Precipitation,Species thermal index,0.19187270468100154,0.19178210176723967,9.060291376186691e-5
1970s,240,prec_breeding,Precipitation,Migratory strategy,0.19187270468100154,0.15911435153347997,0.03275835314752157
1970s,240,prec_breeding,Precipitation,Foraging guild,0.19187270468100154,0.03334874443136967,0.15852396024963186
1970s,240,hh,Land-use heterogeneity,Species thermal index,0.38906967996645847,0.35176834015972586,0.037301339806732614
1970s,240,hh,Land-use heterogeneity,Migratory strategy,0.38906967996645847,0.35409812994847706,0.03497155001798141
1970s,240,hh,Land-use heterogeneity,Foraging guild,0.38906967996645847,0.08384658615116275,0.3052230938152957
1970s,240,perc_urban,Urban,Species thermal index,0.25125893544039596,0.1372777023178509,0.11398123312254504
1970s,240,perc_urban,Urban,Migratory strategy,0.25125893544039596,0.10011464168791184,0.15114429375248412
1970s,240,perc_urban,Urban,Foraging guild,0.25125893544039596,0.23544131839883492,0.01581761704156104
1970s,240,perc_cropland,Cropland,Species thermal index,0.3176604215377251,0.20087768244132728,0.11678273909639783
1970s,240,perc_cropland,Cropland,Migratory strategy,0.3176604215377251,0.20927203854765858,0.10838838299006653
1970s,240,perc_cropland,Cropland,Foraging guild,0.3176604215377251,0.1976145518284311,0.12004586970929401
1970s,240,perc_pasture,Pasture,Species thermal index,0.18422265775240293,0.15135309062158428,0.03286956713081865
1970s,240,perc_pasture,Pasture,Migratory strategy,0.18422265775240293,0.16847688398906482,0.015745773763338106
1970s,240,perc_pasture,Pasture,Foraging guild,0.18422265775240293,0.019199959890330614,0.16502269786207233
1970s,240,perc_forest,Forest,Species thermal index,0.18089916828263153,0.1407719553082538,0.04012721297437774
1970s,240,perc_forest,Forest,Migratory strategy,0.18089916828263153,0.13827662323690798,0.04262254504572355
1970s,240,perc_forest,Forest,Foraging guild,0.18089916828263153,0.11993747261858773,0.0609616956640438
1970s,240,perc_grass_shrub,Grass/shrubland,Species thermal index,0.08888979298286033,0.0964296883927522,-0.007539895409891875
1970s,240,perc_grass_shrub,Grass/shrubland,Migratory strategy,0.08888979298286033,0.07664598917265904,0.012243803810201292
1970s,240,perc_grass_shrub,Grass/shrubland,Foraging guild,0.08888979298286033,0.0052405902130487556,0.08364920276981158
1970s,241,tmean_breeding,Temperature,Species thermal index,0.1386832492525155,0.12873622076187613,0.009947028490639359
1970s,241,tmean_breeding,Temperature,Migratory strategy,0.1386832492525155,0.11897673501281472,0.019706514239700768
1970s,241,tmean_breeding,Temperature,Foraging guild,0.1386832492525155,0.002655424095464931,0.13602782515705056
1970s,241,prec_breeding,Precipitation,Species thermal index,0.23447813312674728,0.23636248156439138,-0.0018843484376440955
1970s,241,prec_breeding,Precipitation,Migratory strategy,0.23447813312674728,0.18002811344040587,0.054450019686341417
1970s,241,prec_breeding,Precipitation,Foraging guild,0.23447813312674728,0.106081383735852,0.1283967493908953
1970s,241,hh,Land-use heterogeneity,Species thermal index,0.2873263686256253,0.26247855646089124,0.02484781216473403
1970s,241,hh,Land-use heterogeneity,Migratory strategy,0.2873263686256253,0.28758326153005387,-2.5689290442859614e-4
1970s,241,hh,Land-use heterogeneity,Foraging guild,0.2873263686256253,0.041086596933846774,0.2462397716917785
1970s,241,perc_urban,Urban,Species thermal index,0.3432595478980657,0.25234307159725156,0.09091647630081412
1970s,241,perc_urban,Urban,Migratory strategy,0.3432595478980657,0.27749142970347357,0.0657681181945921
1970s,241,perc_urban,Urban,Foraging guild,0.3432595478980657,0.17585098970494667,0.167408558193119
1970s,241,perc_cropland,Cropland,Species thermal index,0.4025232927605452,0.27436519829048656,0.12815809447005866
1970s,241,perc_cropland,Cropland,Migratory strategy,0.4025232927605452,0.33900579564558836,0.06351749711495686
1970s,241,perc_cropland,Cropland,Foraging guild,0.4025232927605452,0.24613477791524724,0.15638851484529798
1970s,241,perc_pasture,Pasture,Species thermal index,0.07593121466693958,0.08213863042166723,-0.006207415754727649
1970s,241,perc_pasture,Pasture,Migratory strategy,0.07593121466693958,0.0703472575684981,0.005583957098441478
1970s,241,perc_pasture,Pasture,Foraging guild,0.07593121466693958,0.0012435725466621197,0.07468764212027747
1970s,241,perc_forest,Forest,Species thermal index,0.4225523047399408,0.38369126429203704,0.03886104044790378
1970s,241,perc_forest,Forest,Migratory strategy,0.4225523047399408,0.26954885808152473,0.1530034466584161
1970s,241,perc_forest,Forest,Foraging guild,0.4225523047399408,0.1522892789372081,0.27026302580273276
1970s,241,perc_grass_shrub,Grass/shrubland,Species thermal index,0.22046571061196105,0.20474428185777768,0.015721428754183364
1970s,241,perc_grass_shrub,Grass/shrubland,Migratory strategy,0.22046571061196105,0.19758328853994173,0.02288242207201932
1970s,241,perc_grass_shrub,Grass/shrubland,Foraging guild,0.22046571061196105,0.020825559026594328,0.19964015158536672
1970s,242,tmean_breeding,Temperature,Species thermal index,0.09674489754449432,0.08349009639386305,0.013254801150631268
1970s,242,tmean_breeding,Temperature,Migratory strategy,0.09674489754449432,0.07903623889958812,0.0177086586449062
1970s,242,tmean_breeding,Temperature,Foraging guild,0.09674489754449432,0.0046873282137825465,0.09205756933071177
1970s,242,prec_breeding,Precipitation,Species thermal index,0.07159795379535093,0.06303175465200732,0.008566199143343611
1970s,242,prec_breeding,Precipitation,Migratory strategy,0.07159795379535093,0.05206434624452384,0.019533607550827087
1970s,242,prec_breeding,Precipitation,Foraging guild,0.07159795379535093,0.045837287078265634,0.025760666717085295
1970s,242,hh,Land-use heterogeneity,Species thermal index,0.24642596826394583,0.227188369062148,0.019237599201797823
1970s,242,hh,Land-use heterogeneity,Migratory strategy,0.24642596826394583,0.23748210866924965,0.00894385959469618
1970s,242,hh,Land-use heterogeneity,Foraging guild,0.24642596826394583,0.005402444227378402,0.24102352403656743
1970s,242,perc_urban,Urban,Species thermal index,0.38350670926720987,0.28664047604606896,0.09686623322114091
1970s,242,perc_urban,Urban,Migratory strategy,0.38350670926720987,0.3142609292683586,0.06924577999885129
1970s,242,perc_urban,Urban,Foraging guild,0.38350670926720987,0.20862535888270672,0.17488135038450314
1970s,242,perc_cropland,Cropland,Species thermal index,0.3010309281726963,0.19558818955299395,0.10544273861970233
1970s,242,perc_cropland,Cropland,Migratory strategy,0.3010309281726963,0.28939474485031846,0.011636183322377813
1970s,242,perc_cropland,Cropland,Foraging guild,0.3010309281726963,0.1588553027818049,0.14217562539089137
1970s,242,perc_pasture,Pasture,Species thermal index,0.2010493184454232,0.18983768587622932,0.011211632569193886
1970s,242,perc_pasture,Pasture,Migratory strategy,0.2010493184454232,0.18883198639687748,0.01221733204854572
1970s,242,perc_pasture,Pasture,Foraging guild,0.2010493184454232,0.0086449822589231,0.1924043361865001
1970s,242,perc_forest,Forest,Species thermal index,0.33602750057867065,0.3028121941773663,0.03321530640130432
1970s,242,perc_forest,Forest,Migratory strategy,0.33602750057867065,0.24511261203888288,0.09091488853978777
1970s,242,perc_forest,Forest,Foraging guild,0.33602750057867065,0.09424372068192331,0.24178377989674732
1970s,242,perc_grass_shrub,Grass/shrubland,Species thermal index,0.14779352227239723,0.1161893285927286,0.03160419367966863
1970s,242,perc_grass_shrub,Grass/shrubland,Migratory strategy,0.14779352227239723,0.12487630245159573,0.0229172198208015
1970s,242,perc_grass_shrub,Grass/shrubland,Foraging guild,0.14779352227239723,0.024436568542315518,0.12335695373008171
1970s,243,tmean_breeding,Temperature,Species thermal index,0.17218209271253745,0.17072630270228867,0.0014557900102487864
1970s,243,tmean_breeding,Temperature,Migratory strategy,0.17218209271253745,0.1736377304814326,-0.0014556377688951516
1970s,243,tmean_breeding,Temperature,Foraging guild,0.17218209271253745,9.519954634447178e-7,0.17218114071707402
1970s,243,prec_breeding,Precipitation,Species thermal index,0.1395470780752253,0.10382294173576838,0.03572413633945691
1970s,243,prec_breeding,Precipitation,Migratory strategy,0.1395470780752253,0.13332633899244434,0.006220739082780952
1970s,243,prec_breeding,Precipitation,Foraging guild,0.1395470780752253,0.03203710403947895,0.10750997403574633
1970s,243,hh,Land-use heterogeneity,Species thermal index,0.43484771908707537,0.40140599638104907,0.0334417227060263
1970s,243,hh,Land-use heterogeneity,Migratory strategy,0.43484771908707537,0.42527322600763484,0.009574493079440527
1970s,243,hh,Land-use heterogeneity,Foraging guild,0.43484771908707537,0.02985884737113819,0.40498887171593717
1970s,243,perc_urban,Urban,Species thermal index,0.4282156604069161,0.2857978234531463,0.1424178369537698
1970s,243,perc_urban,Urban,Migratory strategy,0.4282156604069161,0.35924782786302356,0.06896783254389255
1970s,243,perc_urban,Urban,Foraging guild,0.4282156604069161,0.1734289209963689,0.2547867394105472
1970s,243,perc_cropland,Cropland,Species thermal index,0.24983651523165412,0.15320830713933595,0.09662820809231817
1970s,243,perc_cropland,Cropland,Migratory strategy,0.24983651523165412,0.1878216708472225,0.06201484438443161
1970s,243,perc_cropland,Cropland,Foraging guild,0.24983651523165412,0.15184431663456371,0.09799219859709041
1970s,243,perc_pasture,Pasture,Species thermal index,0.1407745767331966,0.1472894843876933,-0.006514907654496693
1970s,243,perc_pasture,Pasture,Migratory strategy,0.1407745767331966,0.14371173058806833,-0.002937153854871727
1970s,243,perc_pasture,Pasture,Foraging guild,0.1407745767331966,0.004727347543960296,0.1360472291892363
1970s,243,perc_forest,Forest,Species thermal index,0.14839954015372295,0.10605499058786982,0.042344549565853123
1970s,243,perc_forest,Forest,Migratory strategy,0.14839954015372295,0.08611679265543558,0.06228274749828737
1970s,243,perc_forest,Forest,Foraging guild,0.14839954015372295,0.1873783833665493,-0.03897884321282635
1970s,243,perc_grass_shrub,Grass/shrubland,Species thermal index,0.15170999409419061,0.1167553597401226,0.03495463435406801
1970s,243,perc_grass_shrub,Grass/shrubland,Migratory strategy,0.15170999409419061,0.14422840517628896,0.007481588917901655
1970s,243,perc_grass_shrub,Grass/shrubland,Foraging guild,0.15170999409419061,0.05000348119537194,0.10170651289881867
1970s,244,tmean_breeding,Temperature,Species thermal index,0.2765785399978644,0.27263274700179985,0.003945792996064568
1970s,244,tmean_breeding,Temperature,Migratory strategy,0.2765785399978644,0.26003158726635883,0.016546952731505582
1970s,244,tmean_breeding,Temperature,Foraging guild,0.2765785399978644,0.008081918501688243,0.26849662149617615
1970s,244,prec_breeding,Precipitation,Species thermal index,0.12696567486806506,0.10945849006174159,0.017507184806323475
1970s,244,prec_breeding,Precipitation,Migratory strategy,0.12696567486806506,0.10440767875683579,0.022557996111229273
1970s,244,prec_breeding,Precipitation,Foraging guild,0.12696567486806506,0.08424644713317815,0.042719227734886914
1970s,244,hh,Land-use heterogeneity,Species thermal index,0.23643508548893738,0.23501580398488428,0.0014192815040530993
1970s,244,hh,Land-use heterogeneity,Migratory strategy,0.23643508548893738,0.23303819338075182,0.0033968921081855563
1970s,244,hh,Land-use heterogeneity,Foraging guild,0.23643508548893738,1.5556218162510933e-5,0.23641952927077486
1970s,244,perc_urban,Urban,Species thermal index,0.21767591821034762,0.09088067267568883,0.1267952455346588
1970s,244,perc_urban,Urban,Migratory strategy,0.21767591821034762,0.09707442638027428,0.12060149183007335
1970s,244,perc_urban,Urban,Foraging guild,0.21767591821034762,0.1997929353428004,0.01788298286754722
1970s,244,perc_cropland,Cropland,Species thermal index,0.34468123818857144,0.1937971709474394,0.15088406724113204
1970s,244,perc_cropland,Cropland,Migratory strategy,0.34468123818857144,0.20949213903285277,0.13518909915571867
1970s,244,perc_cropland,Cropland,Foraging guild,0.34468123818857144,0.23138469943665554,0.11329653875191589
1970s,244,perc_pasture,Pasture,Species thermal index,0.24326497595033555,0.20759975412758094,0.03566522182275461
1970s,244,perc_pasture,Pasture,Migratory strategy,0.24326497595033555,0.22412867877382633,0.01913629717650922
1970s,244,perc_pasture,Pasture,Foraging guild,0.24326497595033555,0.02565402735797461,0.21761094859236094
1970s,244,perc_forest,Forest,Species thermal index,0.16920708249173821,0.10592227359265545,0.06328480889908276
1970s,244,perc_forest,Forest,Migratory strategy,0.16920708249173821,0.058273815814724905,0.11093326667701331
1970s,244,perc_forest,Forest,Foraging guild,0.16920708249173821,0.1663564649403851,0.002850617551353102
1970s,244,perc_grass_shrub,Grass/shrubland,Species thermal index,0.15785811681287162,0.14588920318359502,0.0119689136292766
1970s,244,perc_grass_shrub,Grass/shrubland,Migratory strategy,0.15785811681287162,0.1535099788217262,0.004348137991145418
1970s,244,perc_grass_shrub,Grass/shrubland,Foraging guild,0.15785811681287162,0.019224581737830856,0.13863353507504078
1970s,245,tmean_breeding,Temperature,Species thermal index,0.22414793339890648,0.22389035147088238,2.5758192802410873e-4
1970s,245,tmean_breeding,Temperature,Migratory strategy,0.22414793339890648,0.2173135975189887,0.0068343358799177745
1970s,245,tmean_breeding,Temperature,Foraging guild,0.22414793339890648,0.0024758575016856324,0.22167207589722085
1970s,245,prec_breeding,Precipitation,Species thermal index,0.14697261363984024,0.15322535562770312,-0.006252741987862881
1970s,245,prec_breeding,Precipitation,Migratory strategy,0.14697261363984024,0.10980762693765354,0.037164986702186695
1970s,245,prec_breeding,Precipitation,Foraging guild,0.14697261363984024,0.03201486111821522,0.11495775252162502
1970s,245,hh,Land-use heterogeneity,Species thermal index,0.22899183330722117,0.20504447698652986,0.02394735632069131
1970s,245,hh,Land-use heterogeneity,Migratory strategy,0.22899183330722117,0.1901012263755491,0.03889060693167207
1970s,245,hh,Land-use heterogeneity,Foraging guild,0.22899183330722117,0.13100356467282642,0.09798826863439475
1970s,245,perc_urban,Urban,Species thermal index,0.4803180221830792,0.29310619221095635,0.18721182997212282
1970s,245,perc_urban,Urban,Migratory strategy,0.4803180221830792,0.45043042518936366,0.029887596993715515
1970s,245,perc_urban,Urban,Foraging guild,0.4803180221830792,0.31321630826730373,0.16710171391577544
1970s,245,perc_cropland,Cropland,Species thermal index,0.3448020571533323,0.24422851991941005,0.10057353723392223
1970s,245,perc_cropland,Cropland,Migratory strategy,0.3448020571533323,0.2653641906578297,0.07943786649550261
1970s,245,perc_cropland,Cropland,Foraging guild,0.3448020571533323,0.21663232032512075,0.12816973682821153
1970s,245,perc_pasture,Pasture,Species thermal index,0.15053173520441238,0.15663685770466085,-0.006105122500248472
1970s,245,perc_pasture,Pasture,Migratory strategy,0.15053173520441238,0.16379786067389532,-0.013266125469482942
1970s,245,perc_pasture,Pasture,Foraging guild,0.15053173520441238,8.273821389646528e-4,0.14970435306544772
1970s,245,perc_forest,Forest,Species thermal index,0.2880885823525669,0.2740645458612495,0.014024036491317393
1970s,245,perc_forest,Forest,Migratory strategy,0.2880885823525669,0.20414385458597958,0.08394472776658732
1970s,245,perc_forest,Forest,Foraging guild,0.2880885823525669,0.11807119575603904,0.17001738659652788
1970s,245,perc_grass_shrub,Grass/shrubland,Species thermal index,0.2846510863772235,0.27232826097054746,0.012322825406676008
1970s,245,perc_grass_shrub,Grass/shrubland,Migratory strategy,0.2846510863772235,0.27340101998207283,0.011250066395150637
1970s,245,perc_grass_shrub,Grass/shrubland,Foraging guild,0.2846510863772235,0.009404139773720262,0.2752469466035032
1970s,246,tmean_breeding,Temperature,Species thermal index,0.15497463280450824,0.155777149570587,-8.025167660787591e-4
1970s,246,tmean_breeding,Temperature,Migratory strategy,0.15497463280450824,0.13714476921917412,0.017829863585334116
1970s,246,tmean_breeding,Temperature,Foraging guild,0.15497463280450824,0.014375994085611582,0.14059863871889666
1970s,246,prec_breeding,Precipitation,Species thermal index,0.0628186953322592,0.07054521012532285,-0.007726514793063646
1970s,246,prec_breeding,Precipitation,Migratory strategy,0.0628186953322592,0.04556841290408545,0.017250282428173752
1970s,246,prec_breeding,Precipitation,Foraging guild,0.0628186953322592,0.014282642434208749,0.04853605289805045
1970s,246,hh,Land-use heterogeneity,Species thermal index,0.19979854668937425,0.17688198710677744,0.022916559582596807
1970s,246,hh,Land-use heterogeneity,Migratory strategy,0.19979854668937425,0.19843219990723188,0.0013663467821423692
1970s,246,hh,Land-use heterogeneity,Foraging guild,0.19979854668937425,0.017363033197049887,0.18243551349232437
1970s,246,perc_urban,Urban,Species thermal index,0.46142442373121934,0.34142679665063513,0.1199976270805842
1970s,246,perc_urban,Urban,Migratory strategy,0.46142442373121934,0.3590947166799553,0.10232970705126404
1970s,246,perc_urban,Urban,Foraging guild,0.46142442373121934,0.3232364609707927,0.1381879627604266
1970s,246,perc_cropland,Cropland,Species thermal index,0.2994472174638738,0.2381109569102069,0.06133626055366692
1970s,246,perc_cropland,Cropland,Migratory strategy,0.2994472174638738,0.21882347316922854,0.08062374429464528
1970s,246,perc_cropland,Cropland,Foraging guild,0.2994472174638738,0.15420002655693224,0.14524719090694158
1970s,246,perc_pasture,Pasture,Species thermal index,0.12998603628768757,0.13589004641062213,-0.0059040101229345665
1970s,246,perc_pasture,Pasture,Migratory strategy,0.12998603628768757,0.12949157508857614,4.944611991114234e-4
1970s,246,perc_pasture,Pasture,Foraging guild,0.12998603628768757,8.084007131746143e-6,0.1299779522805558
1970s,246,perc_forest,Forest,Species thermal index,0.18757239896371322,0.13956968073195014,0.04800271823176308
1970s,246,perc_forest,Forest,Migratory strategy,0.18757239896371322,0.08664268092088491,0.10092971804282831
1970s,246,perc_forest,Forest,Foraging guild,0.18757239896371322,0.16302733828077337,0.02454506068293985
1970s,246,perc_grass_shrub,Grass/shrubland,Species thermal index,0.18570574360881412,0.19638644042677733,-0.010680696817963214
1970s,246,perc_grass_shrub,Grass/shrubland,Migratory strategy,0.18570574360881412,0.1872595218375826,-0.001553778228768482
1970s,246,perc_grass_shrub,Grass/shrubland,Foraging guild,0.18570574360881412,0.0065039566316831025,0.17920178697713102
1970s,247,tmean_breeding,Temperature,Species thermal index,0.22515471999208642,0.2267804034569797,-0.0016256834648932794
1970s,247,tmean_breeding,Temperature,Migratory strategy,0.22515471999208642,0.2068441460080269,0.018310573984059525
1970s,247,tmean_breeding,Temperature,Foraging guild,0.22515471999208642,3.368727701018794e-4,0.22481784722198453
