atlas,trait_clean,variable,trait_category,n_species,effect_size,support_pos,gamma_support,trait_label
2010s,Tit-like birds,Land-Use Heterogeneity,Foraging guild,12,0.2541619880145631,0.667,No supported effect,Tit-like birds (n = 12)
2010s,Tit-like birds,Urban,Foraging guild,12,-0.1342801286653068,0.433,No supported effect,Tit-like birds (n = 12)
2010s,Tit-like birds,Cropland,Foraging guild,12,0.4502686872954413,0.813,No supported effect,Tit-like birds (n = 12)
2010s,Tit-like birds,Pasture,Foraging guild,12,0.9584911756644614,0.8,No supported effect,Tit-like birds (n = 12)
2010s,Tit-like birds,Forest,Foraging guild,12,1.886613088034473,0.972,Positive,Tit-like birds (n = 12)
2010s,Tit-like birds,Grass/Shrubland,Foraging guild,12,0.6318379686693033,0.669,No supported effect,Tit-like birds (n = 12)
2010s,Low flycatching feeders,Temperature,Foraging guild,9,0.04432775299936843,0.544,No supported effect,Low flycatching feeders (n = 9)
2010s,Low flycatching feeders,Precipitation,Foraging guild,9,0.001276002392354338,0.562,No supported effect,Low flycatching feeders (n = 9)
2010s,Low flycatching feeders,Land-Use Heterogeneity,Foraging guild,9,-0.04823393161431823,0.458,No supported effect,Low flycatching feeders (n = 9)
2010s,Low flycatching feeders,Urban,Foraging guild,9,0.1375586015196737,0.55,No supported effect,Low flycatching feeders (n = 9)
2010s,Low flycatching feeders,Cropland,Foraging guild,9,0.6691197833154227,0.904,No supported effect,Low flycatching feeders (n = 9)
2010s,Low flycatching feeders,Pasture,Foraging guild,9,1.862559142970307,0.948,No supported effect,Low flycatching feeders (n = 9)
2010s,Low flycatching feeders,Forest,Foraging guild,9,1.749787420796196,0.957,Positive,Low flycatching feeders (n = 9)
2010s,Low flycatching feeders,Grass/Shrubland,Foraging guild,9,1.466217823489745,0.831,No supported effect,Low flycatching feeders (n = 9)
2010s,Scolopacids,Temperature,Foraging guild,9,0.7691196151906518,0.767,No supported effect,Scolopacids (n = 9)
2010s,Scolopacids,Precipitation,Foraging guild,9,-0.003868704132003154,0.364,No supported effect,Scolopacids (n = 9)
2010s,Scolopacids,Land-Use Heterogeneity,Foraging guild,9,-0.5267931833512247,0.256,No supported effect,Scolopacids (n = 9)
2010s,Scolopacids,Urban,Foraging guild,9,-1.542622035030973,0.122,No supported effect,Scolopacids (n = 9)
2010s,Scolopacids,Cropland,Foraging guild,9,-0.04271513128821177,0.483,No supported effect,Scolopacids (n = 9)
2010s,Scolopacids,Pasture,Foraging guild,9,2.759873174086611,0.952,Positive,Scolopacids (n = 9)
2010s,Scolopacids,Forest,Foraging guild,9,0.7831809217140754,0.711,No supported effect,Scolopacids (n = 9)
2010s,Scolopacids,Grass/Shrubland,Foraging guild,9,1.480179031693477,0.778,No supported effect,Scolopacids (n = 9)
2010s,Dabbling ducks,Temperature,Foraging guild,7,0.9714350530323953,0.844,No supported effect,Dabbling ducks (n = 7)
2010s,Dabbling ducks,Precipitation,Foraging guild,7,-0.009572889456285455,0.172,No supported effect,Dabbling ducks (n = 7)
2010s,Dabbling ducks,Land-Use Heterogeneity,Foraging guild,7,-0.04020112840456266,0.475,No supported effect,Dabbling ducks (n = 7)
2010s,Dabbling ducks,Urban,Foraging guild,7,-0.05779012974961522,0.483,No supported effect,Dabbling ducks (n = 7)
2010s,Dabbling ducks,Cropland,Foraging guild,7,0.2935281005165012,0.665,No supported effect,Dabbling ducks (n = 7)
2010s,Dabbling ducks,Pasture,Foraging guild,7,3.839814558877672,0.99,Positive,Dabbling ducks (n = 7)
2010s,Dabbling ducks,Forest,Foraging guild,7,0.7655532968849682,0.708,No supported effect,Dabbling ducks (n = 7)
2010s,Dabbling ducks,Grass/Shrubland,Foraging guild,7,-0.3626136510713364,0.423,No supported effect,Dabbling ducks (n = 7)
2010s,Plovers,Temperature,Foraging guild,6,1.582311229607772,0.939,No supported effect,Plovers (n = 6)
2010s,Plovers,Precipitation,Foraging guild,6,-0.01094285302844444,0.151,No supported effect,Plovers (n = 6)
2010s,Plovers,Land-Use Heterogeneity,Foraging guild,6,0.4816528318139937,0.738,No supported effect,Plovers (n = 6)
2010s,Plovers,Urban,Foraging guild,6,-0.804554237634046,0.257,No supported effect,Plovers (n = 6)
2010s,Plovers,Cropland,Foraging guild,6,-0.1851151985343414,0.399,No supported effect,Plovers (n = 6)
2010s,Plovers,Pasture,Foraging guild,6,1.105425484188043,0.773,No supported effect,Plovers (n = 6)
2010s,Plovers,Forest,Foraging guild,6,-1.474870602665406,0.149,No supported effect,Plovers (n = 6)
2010s,Plovers,Grass/Shrubland,Foraging guild,6,-1.467995487638815,0.216,No supported effect,Plovers (n = 6)
2010s,Diving ducks,Temperature,Foraging guild,3,0.6930200014223316,0.719,No supported effect,Diving ducks (n = 3)
2010s,Diving ducks,Precipitation,Foraging guild,3,-0.02213345920484275,0.02,Negative,Diving ducks (n = 3)
2010s,Diving ducks,Land-Use Heterogeneity,Foraging guild,3,0.1642518392409964,0.582,No supported effect,Diving ducks (n = 3)
2010s,Diving ducks,Urban,Foraging guild,3,1.270674314619895,0.81,No supported effect,Diving ducks (n = 3)
2010s,Diving ducks,Cropland,Foraging guild,3,0.4587835283363609,0.717,No supported effect,Diving ducks (n = 3)
2010s,Diving ducks,Pasture,Foraging guild,3,1.113746675323612,0.746,No supported effect,Diving ducks (n = 3)
2010s,Diving ducks,Forest,Foraging guild,3,0.07250834547119608,0.515,No supported effect,Diving ducks (n = 3)
2010s,Diving ducks,Grass/Shrubland,Foraging guild,3,-0.1218974476832743,0.464,No supported effect,Diving ducks (n = 3)
2010s,Grazing waterfowl,Temperature,Foraging guild,2,-0.02674881782414737,0.497,No supported effect,Grazing waterfowl (n = 2)
2010s,Grazing waterfowl,Precipitation,Foraging guild,2,1.092121921303257e-5,0.495,No supported effect,Grazing waterfowl (n = 2)
2010s,Grazing waterfowl,Land-Use Heterogeneity,Foraging guild,2,0.02773805780310635,0.517,No supported effect,Grazing waterfowl (n = 2)
2010s,Grazing waterfowl,Urban,Foraging guild,2,-0.1845643727839942,0.433,No supported effect,Grazing waterfowl (n = 2)
2010s,Grazing waterfowl,Cropland,Foraging guild,2,0.1161858822587986,0.551,No supported effect,Grazing waterfowl (n = 2)
2010s,Grazing waterfowl,Pasture,Foraging guild,2,3.710121667149339,0.974,Positive,Grazing waterfowl (n = 2)
2010s,Grazing waterfowl,Forest,Foraging guild,2,0.8302113477877755,0.701,No supported effect,Grazing waterfowl (n = 2)
2010s,Grazing waterfowl,Grass/Shrubland,Foraging guild,2,1.489827587146357,0.766,No supported effect,Grazing waterfowl (n = 2)
